2. TRIFD,34. CHEMICAL
46383CCCLF2351I,"['Chromium', 'Copper', 'Manganese', 'Nickel']"
46383GTCHN405EL,"['Cobalt', 'Copper', 'Methyl ethyl ketone', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid']"
46383KPPRS2852R,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds', 'Phosphoric acid']"
46383MCGLL1002N,"['Copper', 'Trichloroethylene']"
46383MCGLL2300E,['Methanol']
46383PFZRP4901E,"['Ammonia', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46383RSCHL2503C,"['Ammonia', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds', 'Nickel compounds', 'Zinc compounds']"
46383SHRLN3601E,['Copper']
46383TTNDV5103E,"['Copper compounds', 'Manganese compounds', 'Nickel compounds', 'Zinc compounds']"
46383WNSCR2252I,"['Diisocyanates', 'Styrene']"
46383WNSCR2552I,"['Ammonia', 'Cobalt compounds', 'Dicyclopentadiene', 'Ethylene glycol', 'Maleic anhydride', 'Methanol', 'N,N-Dimethylaniline', 'Phthalic anhydride', 'Styrene']"
46386NNRLLUSHIG,"['Aluminum oxide (fibrous forms)', 'Chromium', 'Manganese', 'Nickel']"
46391TPRTHUSHWY,['Ammonia']
46391WLKRWHWY42,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
46394MCCHM2357S,"['1,3-Butadiene', 'Copper', 'Ethylene glycol', 'Lead', 'Methanol', 'Methyl tert-butyl ether', 'Nickel', 'Phosphoric acid', 'Propylene', 'Zinc compounds']"
46394MCLCX2815I,"['1,1,1-Trichloroethane', '1,2,4-Trimethylbenzene', '1,3-Butadiene', '2-Methoxyethanol', ""4,4'-Methylenedi(phenyl isocyanate)"", 'Ammonia', 'Anthracene', 'Antimony compounds', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Benzene', 'Biphenyl', 'Carbon disulfide', 'Carbonyl sulfide', 'Certain glycol ethers', 'Copper compounds', 'Cumene', 'Cyclohexane', 'Diisocyanates', 'Ethylbenzene', 'Ethylene', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Lead compounds', 'Manganese compounds', 'Methanol', 'Methyl ethyl ketone', 'Methyl tert-butyl ether', 'Molybdenum trioxide', 'N-Methyl-2-pyrrolidone', 'Naphthalene', 'Nickel compounds', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Phenanthrene', 'Phosphoric acid', 'Polycyclic aromatic compounds', 'Propylene', 'Styrene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Tetrachloroethylene', 'Toluene', 'Xylene (mixed isomers)', 'Zinc compounds', 'n-Hexane']"
46394SXNMT2230I,"['Copper', 'Lead compounds', 'Zinc compounds']"
46401GRYCL2800E,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Lead compounds', 'Manganese compounds', 'Nickel compounds']"
46401MLLRC1225M,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Manganese compounds', 'n-Butyl alcohol']"
46402KSTLCUSSTE,"['Chlorine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46402NTRNTONENO,['Chromium']
46402SSGRYONENO,"['1,1,1-Trichloroethane', '1,2,4-Trimethylbenzene', 'Acetonitrile', 'Aluminum (fume or dust)', 'Ammonia', 'Anthracene', 'Antimony', 'Antimony compounds', 'Arsenic compounds', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Benzene', 'Biphenyl', 'Calcium cyanamide', 'Carbon disulfide', 'Certain glycol ethers', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Copper compounds', 'Cresol (mixed isomers)', 'Cyanide compounds', 'Dibenzofuran', 'Ethylbenzene', 'Ethylene', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Lead compounds', 'Manganese compounds', 'Mercury compounds', 'Methanol', 'Molybdenum trioxide', 'Naphthalene', 'Nickel compounds', 'Nitric acid', 'Phenanthrene', 'Phenol', 'Phosphoric acid', 'Polycyclic aromatic compounds', 'Propylene', 'Pyridine', 'Sodium nitrite', 'Styrene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Vanadium (except when contained in an alloy)', 'Xylene (mixed isomers)', 'Zinc compounds']"
46403RPBLC4000E,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Lead compounds', 'Manganese compounds', 'Nickel compounds']"
46404GRGPC2NDPL,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46404NDRSN3400W,"['1,3-Butadiene', ""4,4'-Methylenebis(2-chloroaniline)"", 'Acrylonitrile', 'Butyl acrylate', 'Styrene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
46404NRTHM76NBR,['Chromium compounds (except for chromite ore mined in the Transvaal Region)']
46405PRCHM2319R,"['2-Mercaptobenzothiazole', 'Certain glycol ethers', 'Diethanolamine', 'Ethylbenzene', 'Naphthalene', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Phosphoric acid', 'Sodium nitrite', 'Xylene (mixed isomers)']"
46406CNSMR5300W,"['1,2,4-Trimethylbenzene', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Ethylbenzene', 'Lead compounds', 'Xylene (mixed isomers)']"
46406GRMTC100NC,['Chromium compounds (except for chromite ore mined in the Transvaal Region)']
46406VLCNM459NO,['Sodium nitrite']
46501RSTNCARGOS,['Lead']
46501WDTKD412SW,['Xylene (mixed isomers)']
46504NTDTC12340,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Diisocyanates', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46504WRFLX502LI,"['Acetone', 'Antimony', 'Antimony compounds', 'Copper', 'Lead', 'Lead compounds']"
46506BLLRD1711W,"['Copper compounds', 'Manganese compounds', 'Zinc compounds']"
46506BRMNC500NB,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates', 'Manganese', 'Manganese compounds']"
46506BRMNG1010W,"['Dimethyl phthalate', 'Styrene']"
46506BRMNM1726B,['Styrene']
46506BRMNM1729W,"['Acetone', 'Styrene']"
46506BRMNM425IN,"['Acetone', 'Styrene']"
46506BRMTW1456S,"['Methanol', 'Toluene', 'Xylene (mixed isomers)']"
46506BRMTW712NB,"['Methanol', 'Toluene', 'Xylene (mixed isomers)']"
46506CCFBR3659D,['Styrene']
46506CRTVF405NI,"['Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46506DSTRFDOGWO,"['Acetone', 'Styrene']"
46506MLLRB225IN,"['Chromium', 'Manganese', 'Nickel', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46506NRGBR1215W,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', ""4,4'-Methylenedi(phenyl isocyanate)"", 'Chlorodifluoromethane (HCFC-22)', 'Diisocyanates', 'Trichlorofluoromethane (CFC-11)']"
46506NSHKW501HI,"['1,1,1-Trichloroethane', 'Toluene', 'Xylene (mixed isomers)', 'Zinc compounds']"
46506NVRSL431NB,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46506PMGPR617EP,"['Manganese compounds', 'Zinc compounds']"
46506RSTNCEAST2,"['Acetone', 'Antimony compounds', 'Copper', 'Lead compounds', 'Toluene', 'Zinc compounds']"
46506STNDG40443,['Styrene']
46506TPRDC747DO,"['1,2,4-Trimethylbenzene', 'Certain glycol ethers', 'Xylene (mixed isomers)']"
46507CFBNC17716,['Polychlorinated alkanes (C10-C13)']
46507CMPRM51650,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Aluminum (fume or dust)', 'Bis(2-ethylhexyl) adipate', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds', 'Diisocyanates', 'Manganese compounds', 'Nickel compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Triethylamine', 'Zinc compounds']"
46507GLXCR306SP,['Styrene']
46507KWNRR1151B,"['Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Sodium nitrite', 'Zinc compounds']"
46507SKYLNSTATE,['Diisocyanates']
46508WRSWB545WW,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
46511HBNCX16235,"['Acetone', 'Ammonia', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Pyridine', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene']"
46514CHMCR54432,"['Toluene', 'Xylene (mixed isomers)']"
46514CNTNN100WW,['Certain glycol ethers']
46514CRRRD104RU,['Toluene']
46514CRSBF1600M,"['Copper', 'Zinc (fume or dust)']"
46514CTSLC1142W,"['1,1,1-Trichloroethane', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46514DMNCR28163,['Toluene']
46514DMSWS940NM,['Copper compounds']
46514DRSPL1001C,"['Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46514DVNCD28605,"['Acetone', 'Styrene']"
46514FNSHN55092,['Toluene']
46514GCLCR53280,"['1,2,4-Trimethylbenzene', 'Xylene (mixed isomers)']"
46514HRTSN28322,"['Acetone', 'Methyl ethyl ketone', 'n-Hexane']"
46514KBLSS1301W,['Trichloroethylene']
46514KCHMT24087,"['Butyl benzyl phthalate', 'Cyclohexane', 'Manganese compounds', 'Toluene', 'Zinc compounds', 'n-Hexane']"
46514LKHRT1913S,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46514MLSNC1127M,"['Ammonia', 'Chlorine', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
46514MNCHS29389,"['Toluene', 'Xylene (mixed isomers)']"
46514MTRCM2950G,['Styrene']
46514NCLLY52800,"['Chromium', 'Copper', 'Copper compounds', 'Manganese', 'Nickel']"
46514PNTSS53894,"['1,2,4-Trimethylbenzene', 'Acetone', 'Ethylbenzene', 'Ethylene glycol', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)', 'Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46514PRMRF55080,['Styrene']
46514RCHTC2551C,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46514SLVYN1230R,"['Ammonia', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46514STLSN23551,"['Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene']"
46514THCNT27524,"['Acetone', 'Dichloromethane', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46514THCNT28722,"['Acetone', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46514THSLM1119N,"['Beryllium compounds', 'Copper', 'Copper compounds', 'Nickel compounds', 'Trichloroethylene']"
46514WLLSC1503M,['Toluene']
46514WLTRP25416,['Xylene (mixed isomers)']
46514WRRCK1110D,['Toluene']
46515CCRPC2730M,"['Acetone', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Methyl ethyl ketone', 'Tetrachloroethylene', 'Xylene (mixed isomers)']"
46515DRKLN1010N,"['Copper compounds', 'Mercury']"
46515DSTRF29331,"['Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46515DYGRT23542,"['Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt', 'Cobalt compounds', 'Manganese', 'Manganese compounds', 'Zinc (fume or dust)', 'Zinc compounds']"
46515FLXBL1900W,"['Dichloromethane', 'Toluene diisocyanate (mixed isomers)']"
46515FMTCH52821,"['1,1,1-Trichloroethane', 'Dichloromethane', 'Trichloroethylene']"
46515FRWND701CO,['Diisocyanates']
46515GDFRY22787,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Acetone', 'Dichloromethane', 'Diisocyanates', 'Styrene']"
46515GLVLC55152,"['Toluene', 'Xylene (mixed isomers)']"
46515GLVLP55152,"['1,1,1-Trichloroethane', 'Dichloromethane']"
46515HRMSL1101L,"['Copper compounds', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Mercury', 'Nickel compounds', 'Tetrachloroethylene']"
46515LCPRD1819S,['Xylene (mixed isomers)']
46515LJHNS2100S,['Manganese']
46515LKHRT1255O,"['Copper', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46515LTCNG28274,['Styrene']
46515MLSNC3400M,"['Acetone', 'Methanol', 'Toluene']"
46515NBCNC500SI,"['Copper', 'Copper compounds', 'Lead compounds', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Trichloroethylene']"
46515NCKLL52627,['Certain glycol ethers']
46515THKNT2310I,['Trichloroethylene']
46515THSLM500IN,"['Copper', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Trichloroethylene']"
46515TLDYN1937S,"['Chromium', 'Copper', 'Manganese', 'Nickel', 'Nitric acid']"
46515VHLFM53293,['Dichloromethane']
46516CPLSN435HA,"['Methyl methacrylate', 'Styrene']"
46516CRNND1806C,"['Dichloromethane', 'Toluene-2,4-diisocyanate', 'Toluene-2,6-diisocyanate']"
46516CRNND2040I,['Dichloromethane']
46516CRRRD4201E,"['Toluene', 'Xylene (mixed isomers)']"
46516DMNCR52570,"['Dichloromethane', 'Methyl tert-butyl ether', 'Toluene', 'Xylene (mixed isomers)', 'n-Hexane']"
46516DNCNS29391,['Diisocyanates']
46516FBRTR29877,"['Acetone', 'Styrene']"
46516FMCRF900IN,"['1,1,1-Trichloroethane']"
46516FMXPR603IN,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Di(2-ethylhexyl) phthalate', 'Dichloromethane', 'Toluene diisocyanate (mixed isomers)']"
46516FNSHN4221M,['Toluene']
46516FRSFB300CO,['Styrene']
46516GLBLG28967,['Styrene']
46516GLBLG56741,['Styrene']
46516GLBLG56807,['Styrene']
46516LCMMN21888,"['Dichloromethane', 'Epichlorohydrin', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46516LPCCT28867,"['Certain glycol ethers', 'Ethylbenzene', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46516MGNDS1010R,"['Toluene', 'Xylene (mixed isomers)']"
46516PHLPS3221M,['Dichloromethane']
46516PLSNC4600W,['Styrene']
46516PRMLD56769,"['Methanol', 'Methyl ethyl ketone', 'Toluene']"
46516RBRTW3200M,['Toluene']
46516RCRPN195CO,"['1,1,1-Trichloroethane', '1,1-Dichloro-1-fluoroethane (HCFC-141b)', '1,3-Phenylenediamine', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Chlorodifluoromethane (HCFC-22)', 'Dichloromethane', 'Diethanolamine', 'Diisocyanates', 'Propylene oxide', 'Toluene diisocyanate (mixed isomers)']"
46516TMKNS400CO,"['Triethylamine', 'sec-Butyl alcohol']"
46516TNNCT4825H,"['Chromium', 'Manganese', 'Nickel']"
46517BCKND29851,['Manganese']
46517BCKND57540,['Manganese']
46517CRWNN1718W,"['1,1,1-Trichloroethane', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Copper', 'Manganese compounds', 'Methyl ethyl ketone', 'Nickel compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46517CVRMS57784,['Styrene']
46517FLXBL2401S,"['1,1,1-Trichloroethane']"
46517FRNTR28335,"['Acetone', 'Methyl methacrylate', 'Styrene']"
46517GSKTP1810W,"['1,1,1-Trichloroethane', 'Dichloromethane', 'Tetrachloroethylene']"
46517HRTHS57475,['Diisocyanates']
46517JSNND1500W,"['Acetone', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46517LRMDW58288,"['Dimethyl phthalate', 'Ethylbenzene', 'Methyl isobutyl ketone', 'Mixture', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46517MBLCR2018F,"['Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)', 'Methyl ethyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46517MLLNM57832,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Acetone', 'Diisocyanates', 'Styrene']"
46517MNCCC1722W,"['Acetone', 'Dichloromethane', 'Methyl isobutyl ketone', 'Toluene', 'm-Xylene']"
46517NCPRD2500S,['Phenol']
46517PTRTH57420,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
46517RCRPN2600S,"['1,1,1-Trichloroethane', 'Dichloromethane']"
46517RNCHF28564,"['Acetone', 'Styrene']"
46517SKYLN1800W,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
46517TLSCH1627W,"['1,1,1-Trichloroethane', 'Chlorine']"
46517TTFRM28816,"['Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46517VLMNT57843,['Manganese']
46517WDTKN1706W,['Toluene']
46517WVCPL2401S,['Methyl ethyl ketone']
4651WMCDWL21SUP,['Trichloroethylene']
46526BNTLR910SE,"['Chromium', 'Manganese']"
46526CMMDR1902C,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Chromium', 'Cobalt', 'Diisocyanates', 'Manganese', 'Nickel', 'Toluene', 'n-Hexane']"
46526DRYFR1110S,"['Ammonia', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid', 'Phosphoric acid']"
46526FMCRF2506I,"['1,1,1-Trichloroethane']"
46526GSHNR1525S,"['Certain glycol ethers', 'Di(2-ethylhexyl) phthalate', 'Dibutyl phthalate', 'Methyl ethyl ketone', 'Phthalic anhydride', 'Toluene', 'Zinc compounds']"
46526HMCRS1002E,"['Methanol', 'Methyl ethyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46526HRRCS16990,"['Toluene', 'Xylene (mixed isomers)']"
46526JHNSN1302E,"['1,1,1-Trichloroethane', 'Ammonia', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Trichloroethylene']"
46526KYSTN712EI,['Dichloromethane']
46526MRRYCPOBOX,"['1,1,1-Trichloroethane', 'Acetone', 'Styrene']"
46526MSTRF16710,"['Acetone', 'Dimethyl phthalate', 'Methyl ethyl ketone', 'Styrene']"
46526MSTRF1671A,"['Acetone', 'Dimethyl phthalate', 'Styrene']"
46526NVRSL2600C,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46526SPRMC16500,"['Acetone', 'Diisocyanates', 'Dimethyl phthalate', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46526STLLT1201E,"['Chromium', 'Cobalt', 'Nickel']"
46526STRCR2703C,"['1,1,1-Trichloroethane', 'Dichloromethane', 'Methanol', 'Methyl ethyl ketone', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46527GRPLS64778,"[""4,4'-Methylenedi(phenyl isocyanate)""]"
46527SKYLNUSHWY,['Diisocyanates']
46530NVRSL50415,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
46530PPRTS13065,"['Chromium', 'Nickel']"
46530VYTCN12912,['Di(2-ethylhexyl) phthalate']
46536LTRGL520IN,"['Acetone', 'Styrene']"
46536RJMFGPOBOX,"['Certain glycol ethers', 'Zinc compounds']"
46538FRNTL306SC,['Styrene']
46539CRGLL196EL,['Zinc compounds']
46539WNNCRSTATE,"['Methyl ethyl ketone', 'Trichloroethylene']"
46540BTBPR219US,"['Certain glycol ethers', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
46540CCHMN423NO,"['Acetone', 'Cyclohexane', 'Diisocyanates', 'Methyl ethyl ketone', 'Toluene', 'n-Hexane']"
46540CRSTH437NM,['Diisocyanates']
46540HRTRC11451,"['Dichloromethane', 'Toluene']"
46540JYCNC58075,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates', 'Toluene', 'n-Hexane']"
46540MDDLB58481,"['Dibutyl phthalate', 'Ethylbenzene', 'Methanol', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46540SCHLT221US,['Diisocyanates']
46540SYNDC402NO,"['Certain glycol ethers', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt', 'Copper', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Lead', 'Manganese', 'Nickel compounds', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46540VCTRN10914,['Diisocyanates']
46540VKNGF300YO,"['Acetone', 'Styrene']"
46542PRNMLSTATE,"['Copper compounds', 'Manganese compounds', 'Zinc compounds']"
46543CKFBR200WA,"['Acetone', 'Dimethyl phthalate', 'Styrene']"
46544BYCTM1302I,"['Cyanide compounds', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46544JNCPR920SL,"['Acetone', 'Styrene']"
46544LTVMS13200,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46544NRYLP312NO,"['Acetone', 'Antimony compounds', 'Bis(2-ethylhexyl) adipate', 'Cyclohexane', 'Methyl ethyl ketone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Xylene (mixed isomers)', 'Zinc compounds', 'n-Hexane']"
46544PNZPR1320S,"['Toluene', 'Xylene (mixed isomers)']"
46544RLNCL500SU,"['Copper', 'Diisocyanates', 'Ethylbenzene', 'Manganese', 'Methyl isobutyl ketone', 'Propylene', 'Toluene', 'Xylene (mixed isomers)']"
46544RMTCN512SM,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46544SCTTB700SO,"['Copper', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46545DCCHM3502N,['Certain glycol ethers']
46545FBRTC2341S,['Styrene']
46545LCTRV909EJ,['Styrene']
46545NTNLS2401N,"['Ammonia', 'Nickel', 'Nickel compounds']"
46545RSTNC1718N,['Zinc compounds']
46545SPCTR1910W,['Methyl ethyl ketone']
46546MSHWK1016E,"['Chromium', 'Nickel']"
46550BLFNN502WE,"['1,1,1-Trichloroethane', 'Dichloromethane']"
46550DLYDPUS6WE,['Styrene']
46550GLFST503SO,"['Dichloromethane', 'Toluene']"
46550HLDYR1205E,"['Acetone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
46550KSTMW401EL,['Xylene (mixed isomers)']
46550NWMRC355ND,"['1,1,1-Trichloroethane', 'Dichloromethane', 'Toluene', 'Xylene (mixed isomers)']"
46550SPRSW301SJ,"['Manganese compounds', 'Zinc compounds']"
46550VTCNC900EW,"['Aluminum (fume or dust)', 'Antimony compounds', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Copper', 'Manganese', 'Manganese compounds', 'Nickel', 'Nickel compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
46552GSNLS31977,['Copper compounds']
46552NTKXX30755,"['Ammonium sulfate (solution)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nickel compounds', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
46552SCTTB31140,"['Copper', 'Zinc (fume or dust)']"
46553BTTRW70891,"['Acetone', 'Styrene']"
46553FMCRF19130,"['1,1,1-Trichloroethane']"
46553HRTGF19881,['Xylene (mixed isomers)']
46553HSKNS71103,"['Chromium', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nickel', 'Tetrachloroethylene']"
46553MMPRD71347,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc (fume or dust)', 'Zinc compounds']"
46553NTRRW67742,"['Methanol', 'Methyl isobutyl ketone', 'Toluene']"
46553NWPRS67895,"['Nitric acid', 'Phosphoric acid']"
46553SMKRC68143,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Acetone', 'Diisocyanates', 'Methyl ethyl ketone', 'Styrene', 'Toluene', 'Xylene (mixed isomers)']"
46554WLLSL400SO,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46555NRTHWRR1BA,['Antimony compounds']
46563BMRKN1955N,"['Ammonia', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)', 'Toluene']"
46563CTRSH2050N,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46563DLMNT506WE,"['Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
46563DRVNT1177M,"['Dichloromethane', 'Methyl ethyl ketone', 'Toluene']"
