2. TRIFD,34. CHEMICAL
00638PRCSNBETAN,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Copper compounds', 'Manganese compounds', 'Selenium', 'Selenium compounds', 'Zinc compounds']"
00638THRMKROAD6,"['1,1,1-Trichloroethane', ""4,4'-Methylenedi(phenyl isocyanate)"", 'Chlorodifluoromethane (HCFC-22)', 'Diisocyanates', 'Ethylene glycol', 'Monochloropentafluoroethane (CFC-115)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
00639CRBBNSTATE,"['Ozone', 'Phosphoric acid']"
00639MLLPRROAD1,"['Acetone', 'Dichlorodifluoromethane (CFC-12)', 'Freon 113 (CFC-113)', 'Methanol', 'n-Butyl alcohol']"
00639NCMNF43BAL,"['Methanol', 'Xylene (mixed isomers)', 'm-Xylene']"
00639PPSCLCIDRA,['Phosphoric acid']
00639SCHRNRT173,"['Freon 113 (CFC-113)', 'n-Hexane']"
00640NDSTRRD14K,"['Ammonia', 'Chlorine']"
00640WSTNGROADN,"['Copper', 'Styrene']"
00653CHFRTROAD3,"['Ammonia', 'Copper compounds', 'Manganese compounds', 'Sodium nitrite', 'Zinc compounds']"
00654NQSTNROAD3,"['2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)', 'Acetone', 'Antimony compounds', 'Chlorine', 'Chlorodifluoromethane (HCFC-22)', 'Freon 113 (CFC-113)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Hydrogen fluoride', 'Methanol', 'Zinc compounds']"
00654PHLPSPHILI,"['1,1,1-Trichloroethane', '1,2,4-Trimethylbenzene', 'Barium', 'Benzene', 'Biphenyl', 'Chlorine', 'Cyclohexane', 'Ethylbenzene', 'Methanol', 'Methyl ethyl ketone', 'Methyl tert-butyl ether', 'Naphthalene', 'Nickel', 'Propylene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Xylene (mixed isomers)', 'm-Xylene', 'n-Hexane', 'o-Xylene', 'p-Xylene']"
00655LTSDLSTATE,"['Certain glycol ethers', 'Hydrogen fluoride', 'Manganese', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
00655YRSTWSTATE,"['Dichloromethane', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00656TXCNDBOPEN,['Zinc compounds']
00656VSSLLBARRI,"['Ammonia', 'Xylene (mixed isomers)']"
00657DDWLLCARR1,['Ammonia']
00657FRTCHPARQU,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Phosphoric acid', 'Xylene (mixed isomers)']"
00657LYMPCPR20K,"['1,1,1-Trichloroethane', '1,2,4-Trichlorobenzene', 'Biphenyl', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00658JHNSN933RO,['Propylene oxide']
00658JNSSNHCO2B,"['Acetone', 'Chlorobenzene', 'Chloroform', 'Ethylene glycol', 'Methanol', 'Methyl isobutyl ketone', 'Toluene']"
00659CNTRLRD2KM,['Zinc compounds']
00661CRBGNSTROA,"['Ammonia', 'Copper', 'Silver', 'Styrene']"
00661LCNPRPRROA,"['Dichlorodifluoromethane (CFC-12)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00661MDRLNROAD9,['Freon 113 (CFC-113)']
00661PCRPRHUMAC,"['Fluorouracil', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00661PRLSSHWYNO,"['Certain glycol ethers', 'Dichloromethane', 'Methyl ethyl ketone', 'Methyl isobutyl ketone']"
00661SQBBMSTATE,"['1,4-Dioxane', 'Acetone', 'Acetonitrile', 'Ammonia', 'Benzene', 'Chromium', 'Copper compounds', 'Cyclohexane', 'Dichloromethane', 'Epichlorohydrin', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Manganese', 'Methanol', 'Methyl isobutyl ketone', 'Methyl tert-butyl ether', 'N,N-Dimethylformamide', 'N-Methyl-2-pyrrolidone', 'Nickel', 'Phosphoric acid', 'Toluene', 'Triethylamine', 'Zinc compounds', 'n-Butyl alcohol', 'n-Hexane']"
00661SYNTXROAD9,['Naphthalene']
00662TDRFTRD112,"['Acetone', 'Methyl ethyl ketone', 'Toluene']"
00664BXTRHSTROA,"['Di(2-ethylhexyl) phthalate', 'Ethylene glycol', 'Ethylene oxide']"
00665PRDCTKM667,"['Copper', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00671BRDCRPRIDC,['Freon 113 (CFC-113)']
00671JHNSNRD183,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
00671KYPHRPRIDC,"['Acetone', 'Chloroform', 'Dichloromethane', 'Methanol']"
00671NTLPRPOBOX,['Lead']
00671PRNCM183RD,['Diethyl phthalate']
00673GBNSLROAD9,"['Ammonia', 'Copper', 'Silver', 'Sodium nitrite']"
00673GBSNLROADS,['Copper']
00673SYLTRROAD9,"['Ammonia', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00674MRNMRPOBOX,['Naphthalene']
00680BRSTLFOREI,"['Chromium', 'Manganese', 'Nickel', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00683BXTRHRD122,"['Dichloromethane', 'Freon 113 (CFC-113)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
